Incident_ID,Date,Location,Department,Object_Type,Severity,Incident_Count,Shift,Inspection_Type,Weather_Condition
11969,2024-05-13 16:00:00,Hangar,Logistics,Metal Scrap,High,4,Evening,Routine,Dusty
11970,2024-05-13 17:00:00,Runway,Logistics,Metal Scrap,Low,2,Morning,Random,Rainy
11971,2024-05-13 18:00:00,Runway,Maintenance,Rubber,Low,2,Night,Routine,Clear
11972,2024-05-13 19:00:00,Hangar,Maintenance,Metal Scrap,High,3,Evening,Random,Clear
11973,2024-05-13 20:00:00,Warehouse,Maintenance,Plastic,Low,1,Morning,Audit,Humid
11974,2024-05-13 21:00:00,Hangar,Production,Plastic,Low,2,Evening,Routine,Clear
11975,2024-05-13 22:00:00,Assembly Line,Maintenance,Plastic,Low,6,Morning,Routine,Dusty
11976,2024-05-13 23:00:00,Assembly Line,Maintenance,Plastic,Medium,2,Evening,Routine,Clear
11977,2024-05-14 00:00:00,Assembly Line,Maintenance,Plastic,Medium,4,Night,Random,Clear
11978,2024-05-14 01:00:00,Taxiway,Maintenance,Tools,Low,2,Morning,Routine,Humid
11979,2024-05-14 02:00:00,Assembly Line,Logistics,Tools,Low,3,Night,Routine,Dusty
11980,2024-05-14 03:00:00,Warehouse,Logistics,Metal Scrap,Low,5,Evening,Routine,Clear
11981,2024-05-14 04:00:00,Taxiway,Maintenance,Tools,Low,2,Night,Random,Clear
11982,2024-05-14 05:00:00,Taxiway,Logistics,Metal Scrap,High,2,Morning,Random,Clear
11983,2024-05-14 06:00:00,Assembly Line,Maintenance,Tools,Medium,2,Morning,Audit,Clear
11984,2024-05-14 07:00:00,Hangar,Quality,Plastic,High,4,Night,Audit,Rainy
11985,2024-05-14 08:00:00,Runway,Production,Tools,Low,2,Night,Routine,Dusty
11986,2024-05-14 09:00:00,Hangar,Maintenance,Tools,High,6,Evening,Routine,Humid
11987,2024-05-14 10:00:00,Hangar,Logistics,Rubber,Medium,2,Evening,Routine,Humid
11988,2024-05-14 11:00:00,Taxiway,Production,Plastic,Medium,2,Morning,Random,Humid
11989,2024-05-14 12:00:00,Taxiway,Logistics,Metal Scrap,Medium,1,Night,Random,Clear
11990,2024-05-14 13:00:00,Taxiway,Quality,Tools,Low,3,Night,Routine,Clear
11991,2024-05-14 14:00:00,Warehouse,Quality,Tools,Low,1,Evening,Audit,Clear
11992,2024-05-14 15:00:00,Warehouse,Production,Metal Scrap,Low,1,Evening,Routine,Clear
11993,2024-05-14 16:00:00,Runway,Quality,Plastic,Medium,3,Morning,Audit,Clear
11994,2024-05-14 17:00:00,Taxiway,Maintenance,Tools,Medium,6,Evening,Random,Dusty
11995,2024-05-14 18:00:00,Assembly Line,Quality,Plastic,Low,2,Night,Random,Rainy
11996,2024-05-14 19:00:00,Taxiway,Logistics,Tools,Low,1,Morning,Random,Clear
11997,2024-05-14 20:00:00,Warehouse,Maintenance,Metal Scrap,High,2,Evening,Routine,Clear
11998,2024-05-14 21:00:00,Taxiway,Logistics,Tools,Medium,1,Morning,Audit,Clear
11999,2024-05-14 22:00:00,Warehouse,Production,Metal Scrap,Medium,3,Evening,Routine,Humid
12000,2024-05-14 23:00:00,Taxiway,Production,Metal Scrap,Medium,2,Morning,Random,Dusty
12001,2024-05-15 00:00:00,Assembly Line,Production,Rubber,Low,4,Morning,Routine,Rainy
12002,2024-05-15 01:00:00,Runway,Logistics,Tools,Medium,1,Morning,Random,Clear
12003,2024-05-15 02:00:00,Assembly Line,Logistics,Plastic,Medium,1,Evening,Random,Clear
12004,2024-05-15 03:00:00,Warehouse,Production,Rubber,Low,4,Evening,Routine,Clear
12005,2024-05-15 04:00:00,Hangar,Logistics,Tools,Medium,5,Night,Random,Clear
12006,2024-05-15 05:00:00,Assembly Line,Production,Metal Scrap,Low,5,Morning,Random,Humid
12007,2024-05-15 06:00:00,Taxiway,Production,Plastic,Low,1,Night,Routine,Dusty
12008,2024-05-15 07:00:00,Runway,Logistics,Tools,Low,1,Morning,Routine,Clear
12009,2024-05-15 08:00:00,Taxiway,Maintenance,Tools,Low,2,Evening,Routine,Humid
12010,2024-05-15 09:00:00,Taxiway,Production,Rubber,Medium,6,Evening,Random,Clear
12011,2024-05-15 10:00:00,Assembly Line,Quality,Tools,Medium,4,Evening,Random,Humid
12012,2024-05-15 11:00:00,Runway,Maintenance,Metal Scrap,High,2,Morning,Random,Clear
12013,2024-05-15 12:00:00,Hangar,Maintenance,Plastic,Low,2,Morning,Routine,Clear
12014,2024-05-15 13:00:00,Taxiway,Maintenance,Metal Scrap,Low,4,Evening,Routine,Clear
12015,2024-05-15 14:00:00,Runway,Maintenance,Rubber,High,4,Night,Audit,Rainy
12016,2024-05-15 15:00:00,Hangar,Production,Rubber,Low,2,Evening,Routine,Dusty
12017,2024-05-15 16:00:00,Taxiway,Production,Tools,Low,3,Evening,Routine,Humid
12018,2024-05-15 17:00:00,Runway,Production,Metal Scrap,Low,3,Evening,Audit,Clear
12019,2024-05-15 18:00:00,Assembly Line,Quality,Tools,Low,2,Evening,Random,Humid
12020,2024-05-15 19:00:00,Taxiway,Production,Tools,Low,6,Evening,Audit,Clear
12021,2024-05-15 20:00:00,Taxiway,Production,Metal Scrap,Low,2,Night,Audit,Rainy
12022,2024-05-15 21:00:00,Runway,Quality,Metal Scrap,High,1,Morning,Routine,Humid
12023,2024-05-15 22:00:00,Taxiway,Production,Metal Scrap,Low,1,Night,Routine,Clear
12024,2024-05-15 23:00:00,Hangar,Logistics,Tools,Medium,6,Night,Random,Clear
12025,2024-05-16 00:00:00,Taxiway,Logistics,Plastic,Medium,2,Night,Random,Clear
12026,2024-05-16 01:00:00,Warehouse,Production,Glass,Low,2,Evening,Random,Dusty
12027,2024-05-16 02:00:00,Hangar,Maintenance,Metal Scrap,Medium,1,Evening,Random,Humid
12028,2024-05-16 03:00:00,Runway,Production,Metal Scrap,Medium,1,Night,Audit,Humid
12029,2024-05-16 04:00:00,Hangar,Quality,Metal Scrap,Low,3,Morning,Random,Humid
12030,2024-05-16 05:00:00,Warehouse,Maintenance,Rubber,Medium,2,Night,Random,Rainy
12031,2024-05-16 06:00:00,Warehouse,Quality,Tools,High,3,Night,Random,Clear
12032,2024-05-16 07:00:00,Taxiway,Logistics,Rubber,Medium,1,Night,Audit,Clear
12033,2024-05-16 08:00:00,Taxiway,Quality,Rubber,Low,4,Morning,Audit,Rainy
12034,2024-05-16 09:00:00,Assembly Line,Production,Metal Scrap,Medium,1,Night,Audit,Clear
12035,2024-05-16 10:00:00,Hangar,Logistics,Metal Scrap,Low,2,Morning,Routine,Clear
12036,2024-05-16 11:00:00,Assembly Line,Maintenance,Metal Scrap,Low,2,Morning,Routine,Humid
12037,2024-05-16 12:00:00,Warehouse,Production,Metal Scrap,Medium,6,Morning,Routine,Dusty
12038,2024-05-16 13:00:00,Taxiway,Logistics,Tools,Medium,2,Morning,Random,Clear
12039,2024-05-16 14:00:00,Taxiway,Maintenance,Tools,High,2,Night,Audit,Clear
12040,2024-05-16 15:00:00,Taxiway,Logistics,Plastic,Low,2,Morning,Audit,Clear
12041,2024-05-16 16:00:00,Runway,Maintenance,Metal Scrap,Low,2,Evening,Routine,Clear
12042,2024-05-16 17:00:00,Warehouse,Maintenance,Metal Scrap,Low,5,Night,Audit,Clear
12043,2024-05-16 18:00:00,Taxiway,Quality,Tools,Medium,2,Morning,Routine,Dusty
12044,2024-05-16 19:00:00,Warehouse,Production,Metal Scrap,Low,1,Evening,Routine,Clear
12045,2024-05-16 20:00:00,Taxiway,Maintenance,Tools,Low,2,Evening,Routine,Dusty
12046,2024-05-16 21:00:00,Hangar,Maintenance,Metal Scrap,Medium,2,Morning,Audit,Clear
12047,2024-05-16 22:00:00,Warehouse,Quality,Metal Scrap,High,2,Evening,Audit,Clear
12048,2024-05-16 23:00:00,Assembly Line,Maintenance,Plastic,Low,5,Morning,Random,Rainy
12049,2024-05-17 00:00:00,Runway,Maintenance,Plastic,Medium,5,Evening,Routine,Clear
12050,2024-05-17 01:00:00,Assembly Line,Logistics,Metal Scrap,High,6,Morning,Routine,Dusty
12051,2024-05-17 02:00:00,Warehouse,Production,Tools,Medium,1,Evening,Random,Humid
12052,2024-05-17 03:00:00,Taxiway,Quality,Metal Scrap,Low,3,Night,Random,Dusty
12053,2024-05-17 04:00:00,Warehouse,Quality,Metal Scrap,Low,1,Evening,Audit,Clear
12054,2024-05-17 05:00:00,Runway,Maintenance,Tools,Low,5,Evening,Audit,Humid
12055,2024-05-17 06:00:00,Warehouse,Maintenance,Tools,Low,2,Evening,Routine,Clear
12056,2024-05-17 07:00:00,Taxiway,Quality,Metal Scrap,Medium,5,Evening,Audit,Humid
12057,2024-05-17 08:00:00,Assembly Line,Maintenance,Metal Scrap,Low,2,Morning,Random,Clear
12058,2024-05-17 09:00:00,Hangar,Maintenance,Plastic,Low,4,Evening,Audit,Humid
12059,2024-05-17 10:00:00,Assembly Line,Logistics,Metal Scrap,Low,1,Night,Random,Rainy
12060,2024-05-17 11:00:00,Taxiway,Quality,Rubber,Medium,1,Morning,Random,Clear
12061,2024-05-17 12:00:00,Taxiway,Maintenance,Metal Scrap,Medium,1,Morning,Routine,Clear
12062,2024-05-17 13:00:00,Runway,Production,Metal Scrap,Medium,4,Night,Routine,Humid
12063,2024-05-17 14:00:00,Warehouse,Maintenance,Rubber,Medium,1,Night,Routine,Clear
12064,2024-05-17 15:00:00,Warehouse,Logistics,Tools,Low,1,Morning,Random,Dusty
12065,2024-05-17 16:00:00,Assembly Line,Logistics,Metal Scrap,Low,5,Night,Random,Clear
12066,2024-05-17 17:00:00,Hangar,Quality,Tools,Medium,3,Night,Random,Clear
12067,2024-05-17 18:00:00,Hangar,Logistics,Metal Scrap,High,7,Night,Random,Clear
12068,2024-05-17 19:00:00,Runway,Logistics,Plastic,Medium,4,Morning,Audit,Humid
12069,2024-05-17 20:00:00,Taxiway,Production,Metal Scrap,Medium,3,Evening,Random,Dusty
12070,2024-05-17 21:00:00,Runway,Logistics,Rubber,Low,1,Morning,Random,Rainy
12071,2024-05-17 22:00:00,Warehouse,Maintenance,Tools,Medium,5,Evening,Routine,Clear
12072,2024-05-17 23:00:00,Taxiway,Logistics,Plastic,Low,2,Evening,Audit,Humid
12073,2024-05-18 00:00:00,Runway,Production,Plastic,Medium,4,Evening,Random,Humid
12074,2024-05-18 01:00:00,Assembly Line,Quality,Metal Scrap,Low,1,Night,Random,Clear
12075,2024-05-18 02:00:00,Warehouse,Production,Rubber,Low,2,Night,Routine,Clear
12076,2024-05-18 03:00:00,Hangar,Maintenance,Metal Scrap,Medium,5,Morning,Random,Clear
12077,2024-05-18 04:00:00,Runway,Maintenance,Metal Scrap,Low,2,Evening,Random,Clear
12078,2024-05-18 05:00:00,Warehouse,Quality,Tools,Medium,1,Evening,Routine,Clear
12079,2024-05-18 06:00:00,Warehouse,Production,Glass,Low,7,Evening,Routine,Humid
12080,2024-05-18 07:00:00,Hangar,Production,Metal Scrap,Medium,2,Morning,Routine,Clear
12081,2024-05-18 08:00:00,Hangar,Quality,Glass,Low,6,Morning,Random,Dusty
12082,2024-05-18 09:00:00,Hangar,Quality,Tools,Low,2,Morning,Routine,Rainy
12083,2024-05-18 10:00:00,Runway,Quality,Rubber,Low,1,Night,Routine,Clear
12084,2024-05-18 11:00:00,Hangar,Quality,Tools,Low,2,Morning,Audit,Humid
12085,2024-05-18 12:00:00,Assembly Line,Maintenance,Metal Scrap,Medium,5,Morning,Routine,Clear
12086,2024-05-18 13:00:00,Warehouse,Maintenance,Rubber,Medium,2,Morning,Routine,Clear
12087,2024-05-18 14:00:00,Hangar,Quality,Metal Scrap,Medium,3,Morning,Random,Clear
12088,2024-05-18 15:00:00,Warehouse,Logistics,Plastic,Low,4,Morning,Audit,Dusty
12089,2024-05-18 16:00:00,Taxiway,Quality,Rubber,Low,2,Night,Audit,Clear
12090,2024-05-18 17:00:00,Taxiway,Logistics,Rubber,Low,3,Evening,Random,Clear
12091,2024-05-18 18:00:00,Hangar,Logistics,Plastic,Low,3,Morning,Audit,Clear
12092,2024-05-18 19:00:00,Warehouse,Production,Metal Scrap,Medium,3,Evening,Random,Humid
12093,2024-05-18 20:00:00,Taxiway,Logistics,Tools,Low,2,Morning,Routine,Humid
12094,2024-05-18 21:00:00,Hangar,Logistics,Plastic,Low,2,Morning,Random,Clear
12095,2024-05-18 22:00:00,Warehouse,Logistics,Rubber,Low,2,Evening,Random,Dusty
12096,2024-05-18 23:00:00,Hangar,Maintenance,Metal Scrap,Low,1,Night,Routine,Clear
12097,2024-05-19 00:00:00,Warehouse,Production,Tools,Low,2,Evening,Routine,Dusty
12098,2024-05-19 01:00:00,Taxiway,Production,Metal Scrap,Medium,1,Evening,Random,Clear
12099,2024-05-19 02:00:00,Hangar,Logistics,Tools,Low,7,Morning,Routine,Clear
12100,2024-05-19 03:00:00,Taxiway,Maintenance,Metal Scrap,Low,2,Morning,Audit,Humid
12101,2024-05-19 04:00:00,Hangar,Quality,Metal Scrap,High,2,Morning,Routine,Clear
12102,2024-05-19 05:00:00,Runway,Maintenance,Plastic,Low,1,Morning,Routine,Humid
12103,2024-05-19 06:00:00,Taxiway,Production,Tools,Low,5,Evening,Random,Clear
12104,2024-05-19 07:00:00,Taxiway,Logistics,Tools,Low,6,Evening,Random,Humid
12105,2024-05-19 08:00:00,Assembly Line,Maintenance,Rubber,Low,2,Morning,Routine,Clear
12106,2024-05-19 09:00:00,Taxiway,Logistics,Metal Scrap,Medium,1,Morning,Routine,Clear
12107,2024-05-19 10:00:00,Warehouse,Quality,Metal Scrap,Low,1,Morning,Random,Rainy
12108,2024-05-19 11:00:00,Hangar,Maintenance,Metal Scrap,Low,1,Evening,Random,Clear
12109,2024-05-19 12:00:00,Runway,Quality,Plastic,Low,2,Evening,Audit,Clear
12110,2024-05-19 13:00:00,Warehouse,Quality,Tools,Low,1,Night,Audit,Clear
12111,2024-05-19 14:00:00,Warehouse,Production,Tools,Medium,1,Evening,Random,Humid
12112,2024-05-19 15:00:00,Warehouse,Production,Plastic,Medium,4,Morning,Routine,Clear
12113,2024-05-19 16:00:00,Warehouse,Logistics,Tools,Medium,3,Evening,Routine,Clear
12114,2024-05-19 17:00:00,Runway,Quality,Rubber,Medium,1,Night,Routine,Clear
12115,2024-05-19 18:00:00,Assembly Line,Quality,Tools,Low,2,Evening,Random,Clear
12116,2024-05-19 19:00:00,Taxiway,Production,Rubber,Low,6,Evening,Audit,Clear
12117,2024-05-19 20:00:00,Warehouse,Quality,Metal Scrap,Low,5,Morning,Audit,Humid
12118,2024-05-19 21:00:00,Taxiway,Maintenance,Metal Scrap,High,1,Morning,Random,Clear
12119,2024-05-19 22:00:00,Taxiway,Quality,Plastic,High,1,Morning,Random,Clear
12120,2024-05-19 23:00:00,Warehouse,Quality,Tools,Low,3,Morning,Audit,Humid
12121,2024-05-20 00:00:00,Assembly Line,Production,Tools,Low,2,Night,Random,Clear
12122,2024-05-20 01:00:00,Taxiway,Production,Plastic,Medium,1,Evening,Random,Humid
12123,2024-05-20 02:00:00,Hangar,Logistics,Metal Scrap,Low,2,Night,Random,Dusty
12124,2024-05-20 03:00:00,Taxiway,Production,Metal Scrap,Low,5,Night,Audit,Clear
12125,2024-05-20 04:00:00,Warehouse,Maintenance,Tools,Low,4,Evening,Audit,Clear
12126,2024-05-20 05:00:00,Runway,Quality,Rubber,Low,4,Evening,Routine,Dusty
12127,2024-05-20 06:00:00,Taxiway,Logistics,Tools,Low,2,Evening,Routine,Dusty
12128,2024-05-20 07:00:00,Assembly Line,Quality,Tools,Medium,3,Morning,Routine,Clear
12129,2024-05-20 08:00:00,Hangar,Production,Metal Scrap,Medium,3,Morning,Audit,Clear
12130,2024-05-20 09:00:00,Hangar,Quality,Tools,Medium,4,Night,Routine,Rainy
12131,2024-05-20 10:00:00,Runway,Quality,Tools,Low,1,Evening,Routine,Humid
12132,2024-05-20 11:00:00,Runway,Maintenance,Metal Scrap,Low,4,Morning,Routine,Dusty
12133,2024-05-20 12:00:00,Taxiway,Quality,Metal Scrap,Low,1,Morning,Random,Clear
12134,2024-05-20 13:00:00,Warehouse,Maintenance,Tools,Medium,6,Evening,Random,Dusty
12135,2024-05-20 14:00:00,Assembly Line,Quality,Metal Scrap,Low,7,Morning,Audit,Clear
12136,2024-05-20 15:00:00,Hangar,Production,Metal Scrap,Medium,1,Night,Audit,Humid
12137,2024-05-20 16:00:00,Runway,Logistics,Plastic,High,1,Evening,Random,Clear
12138,2024-05-20 17:00:00,Assembly Line,Production,Plastic,Low,3,Night,Routine,Clear
12139,2024-05-20 18:00:00,Warehouse,Logistics,Metal Scrap,Medium,1,Morning,Routine,Clear
12140,2024-05-20 19:00:00,Hangar,Quality,Tools,Low,5,Evening,Routine,Humid
12141,2024-05-20 20:00:00,Hangar,Production,Rubber,Medium,4,Night,Random,Clear
12142,2024-05-20 21:00:00,Warehouse,Maintenance,Rubber,Low,2,Evening,Routine,Clear
12143,2024-05-20 22:00:00,Hangar,Production,Plastic,Low,2,Morning,Audit,Clear
12144,2024-05-20 23:00:00,Warehouse,Maintenance,Metal Scrap,Low,7,Evening,Random,Clear
12145,2024-05-21 00:00:00,Hangar,Quality,Metal Scrap,Medium,6,Morning,Routine,Dusty
12146,2024-05-21 01:00:00,Taxiway,Quality,Metal Scrap,Low,2,Night,Routine,Humid
12147,2024-05-21 02:00:00,Warehouse,Logistics,Plastic,Low,5,Evening,Random,Clear
12148,2024-05-21 03:00:00,Assembly Line,Production,Metal Scrap,Low,1,Evening,Random,Clear
12149,2024-05-21 04:00:00,Taxiway,Quality,Tools,Low,1,Morning,Routine,Dusty
12150,2024-05-21 05:00:00,Assembly Line,Logistics,Rubber,Medium,2,Morning,Random,Clear
12151,2024-05-21 06:00:00,Hangar,Logistics,Rubber,Medium,3,Morning,Random,Dusty
12152,2024-05-21 07:00:00,Assembly Line,Quality,Rubber,Low,3,Evening,Routine,Humid
12153,2024-05-21 08:00:00,Taxiway,Maintenance,Metal Scrap,Low,1,Morning,Routine,Clear
12154,2024-05-21 09:00:00,Warehouse,Maintenance,Rubber,Low,7,Morning,Routine,Humid
12155,2024-05-21 10:00:00,Runway,Logistics,Plastic,Medium,5,Morning,Random,Dusty
12156,2024-05-21 11:00:00,Assembly Line,Quality,Plastic,Low,3,Evening,Routine,Dusty
12157,2024-05-21 12:00:00,Runway,Production,Metal Scrap,Low,1,Night,Audit,Clear
12158,2024-05-21 13:00:00,Assembly Line,Production,Rubber,Medium,6,Evening,Routine,Clear
12159,2024-05-21 14:00:00,Assembly Line,Logistics,Metal Scrap,Low,3,Night,Routine,Clear
12160,2024-05-21 15:00:00,Warehouse,Production,Metal Scrap,Low,1,Evening,Audit,Clear
12161,2024-05-21 16:00:00,Hangar,Quality,Metal Scrap,Low,2,Evening,Random,Humid
12162,2024-05-21 17:00:00,Taxiway,Production,Plastic,Low,1,Evening,Routine,Dusty
12163,2024-05-21 18:00:00,Taxiway,Production,Plastic,Low,1,Night,Random,Clear
12164,2024-05-21 19:00:00,Taxiway,Quality,Rubber,Medium,3,Morning,Routine,Humid
12165,2024-05-21 20:00:00,Hangar,Maintenance,Metal Scrap,High,1,Morning,Routine,Humid
12166,2024-05-21 21:00:00,Runway,Maintenance,Metal Scrap,Low,1,Evening,Audit,Clear
12167,2024-05-21 22:00:00,Taxiway,Logistics,Plastic,Low,2,Morning,Routine,Dusty
12168,2024-05-21 23:00:00,Runway,Quality,Metal Scrap,Medium,6,Morning,Audit,Clear
12169,2024-05-22 00:00:00,Hangar,Maintenance,Tools,High,6,Evening,Routine,Clear
12170,2024-05-22 01:00:00,Hangar,Production,Metal Scrap,Low,1,Morning,Random,Clear
12171,2024-05-22 02:00:00,Warehouse,Logistics,Tools,Low,1,Morning,Routine,Rainy
12172,2024-05-22 03:00:00,Taxiway,Quality,Plastic,Medium,4,Evening,Routine,Clear
12173,2024-05-22 04:00:00,Warehouse,Quality,Metal Scrap,Low,3,Evening,Routine,Humid
12174,2024-05-22 05:00:00,Taxiway,Logistics,Metal Scrap,Low,3,Evening,Random,Dusty
12175,2024-05-22 06:00:00,Hangar,Maintenance,Metal Scrap,Medium,7,Evening,Routine,Clear
12176,2024-05-22 07:00:00,Hangar,Logistics,Plastic,Low,5,Night,Audit,Dusty
12177,2024-05-22 08:00:00,Assembly Line,Logistics,Tools,Medium,2,Morning,Random,Rainy
12178,2024-05-22 09:00:00,Assembly Line,Quality,Rubber,Medium,4,Night,Audit,Rainy
12179,2024-05-22 10:00:00,Hangar,Quality,Glass,Low,3,Night,Random,Humid
12180,2024-05-22 11:00:00,Hangar,Production,Glass,Low,6,Evening,Routine,Clear
12181,2024-05-22 12:00:00,Runway,Logistics,Metal Scrap,Low,2,Morning,Random,Humid
12182,2024-05-22 13:00:00,Runway,Quality,Tools,High,3,Morning,Random,Clear
12183,2024-05-22 14:00:00,Warehouse,Quality,Plastic,Medium,2,Morning,Random,Rainy
12184,2024-05-22 15:00:00,Assembly Line,Quality,Plastic,Low,3,Morning,Random,Clear
12185,2024-05-22 16:00:00,Assembly Line,Quality,Rubber,Low,1,Night,Routine,Clear
12186,2024-05-22 17:00:00,Hangar,Logistics,Tools,Low,2,Evening,Audit,Clear
12187,2024-05-22 18:00:00,Hangar,Logistics,Tools,Medium,3,Evening,Random,Dusty
12188,2024-05-22 19:00:00,Warehouse,Maintenance,Metal Scrap,Low,6,Morning,Routine,Dusty
12189,2024-05-22 20:00:00,Assembly Line,Logistics,Metal Scrap,Medium,5,Evening,Audit,Clear
12190,2024-05-22 21:00:00,Runway,Quality,Plastic,Medium,3,Evening,Routine,Clear
12191,2024-05-22 22:00:00,Taxiway,Production,Tools,Medium,5,Evening,Audit,Humid
12192,2024-05-22 23:00:00,Warehouse,Logistics,Plastic,High,3,Evening,Audit,Clear
12193,2024-05-23 00:00:00,Taxiway,Maintenance,Metal Scrap,Medium,3,Morning,Routine,Clear
12194,2024-05-23 01:00:00,Runway,Logistics,Rubber,Medium,2,Morning,Routine,Humid
12195,2024-05-23 02:00:00,Runway,Quality,Rubber,Low,2,Morning,Routine,Humid
12196,2024-05-23 03:00:00,Taxiway,Maintenance,Plastic,High,1,Morning,Random,Dusty
12197,2024-05-23 04:00:00,Warehouse,Quality,Metal Scrap,Low,2,Night,Audit,Rainy
12198,2024-05-23 05:00:00,Taxiway,Quality,Metal Scrap,Medium,2,Evening,Routine,Dusty
12199,2024-05-23 06:00:00,Warehouse,Logistics,Plastic,Medium,1,Evening,Routine,Clear
12200,2024-05-23 07:00:00,Warehouse,Logistics,Rubber,Low,4,Morning,Routine,Dusty
12201,2024-05-23 08:00:00,Hangar,Maintenance,Tools,Low,2,Night,Routine,Humid
12202,2024-05-23 09:00:00,Assembly Line,Maintenance,Rubber,Low,3,Evening,Random,Dusty
12203,2024-05-23 10:00:00,Assembly Line,Maintenance,Tools,Low,2,Morning,Routine,Rainy
12204,2024-05-23 11:00:00,Runway,Maintenance,Plastic,Low,2,Evening,Routine,Dusty
12205,2024-05-23 12:00:00,Hangar,Production,Tools,Low,1,Morning,Audit,Rainy
12206,2024-05-23 13:00:00,Assembly Line,Maintenance,Tools,Low,2,Night,Random,Clear
12207,2024-05-23 14:00:00,Warehouse,Logistics,Plastic,Low,3,Morning,Random,Dusty
12208,2024-05-23 15:00:00,Warehouse,Production,Tools,Low,2,Evening,Random,Clear
12209,2024-05-23 16:00:00,Taxiway,Quality,Rubber,Low,2,Evening,Routine,Clear
12210,2024-05-23 17:00:00,Taxiway,Quality,Rubber,Medium,2,Evening,Audit,Clear
12211,2024-05-23 18:00:00,Warehouse,Maintenance,Plastic,Low,3,Night,Random,Dusty
12212,2024-05-23 19:00:00,Warehouse,Quality,Plastic,Low,2,Morning,Routine,Clear
12213,2024-05-23 20:00:00,Taxiway,Production,Tools,High,1,Morning,Audit,Clear
12214,2024-05-23 21:00:00,Assembly Line,Logistics,Rubber,Low,4,Morning,Routine,Clear
12215,2024-05-23 22:00:00,Runway,Logistics,Rubber,Low,1,Night,Random,Humid
12216,2024-05-23 23:00:00,Taxiway,Production,Plastic,Low,3,Morning,Routine,Clear
12217,2024-05-24 00:00:00,Assembly Line,Maintenance,Metal Scrap,Low,5,Morning,Routine,Clear
12218,2024-05-24 01:00:00,Assembly Line,Maintenance,Plastic,Medium,4,Morning,Routine,Clear
12219,2024-05-24 02:00:00,Assembly Line,Maintenance,Tools,Low,2,Evening,Audit,Clear
12220,2024-05-24 03:00:00,Hangar,Production,Plastic,Low,2,Morning,Audit,Clear
12221,2024-05-24 04:00:00,Hangar,Maintenance,Glass,Low,2,Morning,Audit,Rainy
12222,2024-05-24 05:00:00,Assembly Line,Logistics,Tools,Low,1,Morning,Routine,Clear
12223,2024-05-24 06:00:00,Warehouse,Production,Metal Scrap,Low,2,Evening,Routine,Clear
12224,2024-05-24 07:00:00,Hangar,Production,Metal Scrap,Low,2,Evening,Random,Clear
12225,2024-05-24 08:00:00,Taxiway,Quality,Metal Scrap,High,1,Night,Random,Clear
12226,2024-05-24 09:00:00,Hangar,Quality,Metal Scrap,Medium,1,Evening,Audit,Dusty
12227,2024-05-24 10:00:00,Warehouse,Maintenance,Tools,Low,2,Evening,Routine,Rainy
12228,2024-05-24 11:00:00,Runway,Maintenance,Rubber,Low,6,Morning,Random,Clear
12229,2024-05-24 12:00:00,Hangar,Logistics,Rubber,Medium,3,Night,Random,Dusty
12230,2024-05-24 13:00:00,Assembly Line,Maintenance,Metal Scrap,Low,3,Night,Routine,Humid
12231,2024-05-24 14:00:00,Assembly Line,Logistics,Tools,High,2,Night,Random,Clear
12232,2024-05-24 15:00:00,Assembly Line,Maintenance,Rubber,Medium,2,Morning,Routine,Rainy
12233,2024-05-24 16:00:00,Runway,Logistics,Tools,Low,1,Evening,Random,Clear
12234,2024-05-24 17:00:00,Warehouse,Production,Rubber,Low,7,Morning,Random,Dusty
12235,2024-05-24 18:00:00,Taxiway,Logistics,Rubber,Medium,4,Night,Routine,Rainy
12236,2024-05-24 19:00:00,Warehouse,Maintenance,Metal Scrap,Low,1,Night,Random,Humid
12237,2024-05-24 20:00:00,Runway,Quality,Rubber,Low,1,Evening,Routine,Dusty
12238,2024-05-24 21:00:00,Assembly Line,Maintenance,Tools,Medium,3,Morning,Random,Clear
12239,2024-05-24 22:00:00,Warehouse,Production,Tools,Low,7,Evening,Routine,Humid
12240,2024-05-24 23:00:00,Taxiway,Quality,Plastic,Low,2,Evening,Routine,Clear
12241,2024-05-25 00:00:00,Assembly Line,Logistics,Plastic,Low,6,Morning,Random,Clear
12242,2024-05-25 01:00:00,Taxiway,Quality,Plastic,Medium,2,Morning,Routine,Humid
12243,2024-05-25 02:00:00,Hangar,Maintenance,Rubber,Low,1,Morning,Random,Dusty
12244,2024-05-25 03:00:00,Taxiway,Quality,Glass,Low,7,Night,Random,Clear
12245,2024-05-25 04:00:00,Assembly Line,Quality,Rubber,Low,1,Evening,Routine,Humid
12246,2024-05-25 05:00:00,Hangar,Maintenance,Metal Scrap,Medium,4,Morning,Routine,Dusty
12247,2024-05-25 06:00:00,Assembly Line,Maintenance,Rubber,Medium,2,Evening,Audit,Humid
12248,2024-05-25 07:00:00,Assembly Line,Production,Plastic,Low,1,Morning,Audit,Dusty
12249,2024-05-25 08:00:00,Hangar,Quality,Rubber,Medium,2,Evening,Routine,Humid
12250,2024-05-25 09:00:00,Taxiway,Logistics,Plastic,Low,7,Evening,Routine,Humid
12251,2024-05-25 10:00:00,Runway,Maintenance,Rubber,Low,1,Morning,Random,Humid
12252,2024-05-25 11:00:00,Runway,Quality,Metal Scrap,Medium,8,Morning,Random,Humid
12253,2024-05-25 12:00:00,Runway,Maintenance,Glass,Low,5,Evening,Routine,Humid
